alpha_xx,alpha_xz,alpha_zx,alpha_zz,delta_theta
1.404524399,-1.37914803,0.9384843677,-1.227834037,3.091826235
-0.9169649947,0.8396187891,1.92081914,0.4461744239,4.386369954
-1.78199874,0.4652358797,-1.830597794,1.536582845,20.87768957
0.8383131404,-1.307488614,-1.633115977,-1.265867084,8.747281793
1.920108718,-0.1657574302,1.136323793,0.5456333684,2.201133321
0.2896525998,-1.419478981,1.784097814,-0.7946294699,2.473850285
0.3120688632,0.7991037784,0.596932621,1.762377639,2.841849811
-1.40624404,0.03341095379,-0.383862437,-0.1033250821,1.427282541
-1.523129895,-1.463621561,-0.8876978169,-0.781181585,2.493001532
-0.2883871453,0.4439501881,0.5385164697,-0.3527564137,1.168839606
-0.3648675623,-1.129485893,0.3532249936,-0.7318363547,1.590616216
-1.855760663,-0.3263998234,-0.1034692996,-1.097628527,1.910182816
0.2898317325,0.2630876017,0.8080087244,0.5917939288,1.438584435
0.6097322261,-0.7351433927,1.149728888,0.1965775344,1.761420598
-0.2743272193,0.5040499238,-0.5573706622,0.05095697843,1.26573177
0.9468227539,1.545611547,1.684228789,0.01453170073,3.365115969
0.08110045896,1.199481643,-0.742197233,1.349529449,2.202310864
-0.02343341393,-1.536573103,-1.711763412,1.367972844,11.63586385
-1.777728332,-0.8775542555,-0.663479838,-1.308022219,2.321194042
-0.7444265208,0.9707702669,-1.941268626,1.308693698,4.202508023
1.426192094,-0.5109537072,-1.385548404,0.4033616318,2.388423269
-1.521309777,-0.5403225557,1.833716724,1.98185789,47.17277324
1.088419565,-0.7561539603,0.7506601967,0.8216254619,1.787758795
-0.4486332193,0.5635545383,-1.95708942,-1.163769366,3.153572612
0.1003532119,-1.344994783,-1.336372528,1.345217162,3.927937038
1.956532011,0.2238777121,1.356278924,1.961286657,2.916581441
-1.433616446,-0.207017547,-0.4297091366,-1.679802865,2.189546493
1.021320691,-0.2648838907,-0.1226922632,-1.397308105,1.642387341
-1.276293391,1.628414489,-1.821403644,-1.06859086,2.153040968
-0.8317626787,-0.03920983039,0.3457806921,-0.0268400966,1.176681586
-1.663538662,-1.025330184,1.374353539,0.5503548019,2.675582374
0.5965962005,0.6808130214,1.051612076,-1.767566073,4.433384614
-0.5335664603,0.158109741,-0.6461740668,1.377915493,2.035381919
-0.06970996565,1.074510358,1.408062068,0.01916593161,1.628857945
1.638208975,0.3484957621,1.401097195,-0.6376368176,2.76268161
-0.004732165874,0.125644164,-1.580081136,-0.4057899732,2.197157065
1.66935069,0.5233289615,-1.28997367,-0.6445774576,2.607599436
-1.233587961,-1.900707473,1.709841834,-0.207170687,2.176742001
-0.7698597103,0.3939087662,-1.970742175,-0.8879115736,3.001807234
0.8121338628,0.5350790923,1.92722379,0.4814308386,3.568022099
-0.08997650549,1.045730253,1.613311488,0.8827837869,3.141493299
1.852844894,1.128020683,1.467205753,-1.543583715,6.207237787
0.929654012,-0.2396452019,0.2124152096,0.6164096379,1.445124502
1.879260467,1.938312326,-0.847087018,0.9350139898,2.10727455
0.9999341517,-0.6140285547,-1.504520901,-1.836212159,22.77154916
1.10937251,-0.04120103273,1.942160678,-0.1401061752,3.27836261
1.911667916,-0.3536959912,1.174728602,-1.660722911,10.80999314
0.2218468406,1.208239148,1.698806669,1.290332362,5.817552144
-1.852117091,-0.5091906348,-1.805206111,-1.562870836,4.121142169
0.7012225147,0.8530327852,1.094882731,1.461826192,2.874682473
0.9577258739,1.203486368,-1.804145161,-1.061859398,3.378008569
0.4875910935,1.432501218,-1.9819995,0.05851736847,2.322810684
0.7091495975,-1.881570843,-0.3945777698,1.582539526,3.053702462
