theta,alpha_xx_opt,alpha_xz_opt,alpha_zx_opt,alpha_zz_opt,best_delta_theta,sql,ratio,expectation_Jz,variance_Jz,d_exp_d_theta,n_converged
1.6,-1.409897395,0.4723159541,-3.226943304,2.11858749,0.0772995911,0.1,0.772995911,0.4873417376,0.01249803079,1.446250754,27
1.7,-0.008963264668,0.3143423681,3.713960513,3.326342899,0.07176015327,0.1,0.7176015327,0.04776096616,0.2477188901,6.935794311,29
1.8,1.910367212,1.706161028,-5.833672551,3.598796087,0.08845270995,0.1,0.8845270995,0.4772428418,0.02223926996,-1.685967196,32
1.9,-0.08239540132,-0.7804441686,4.949474599,3.30566975,0.07486034999,0.1,0.7486034999,0.4925312214,0.007412995945,-1.150124959,27
2,0.5765932822,0.5699256223,14.22060823,11.96552582,0.08625298493,0.1,0.8625298493,-0.1897296746,0.2140026506,5.363341402,34
2.1,2.937719904,2.019287931,-0.2246565918,3.259130852,0.080407122,0.1,0.80407122,-0.4451772565,0.05181721031,-2.831017124,34
2.2,0.6383306429,0.3009733436,9.756236095,6.955726803,0.08019876965,0.1,0.8019876965,0.4940663813,0.005898410872,0.957634547,29
2.3,-0.4834948576,-0.538117815,7.451222145,5.460400308,0.07551093849,0.1,0.7551093849,0.2953431481,0.1627724249,-5.342943094,33
2.4,-0.01708311741,0.3167071614,-2.324808284,3.973906914,0.06954303768,0.1,0.6954303768,0.4589953593,0.0393232601,2.851485063,25
2.5,0.2061553282,0.2755576392,3.711647518,4.693461828,0.06949505505,0.1,0.6949505505,0.4030136321,0.08758001235,-4.258421029,26
2.6,0.09939084586,-0.1276886199,14.96795045,11.74043348,0.08324544196,0.1,0.8324544196,0.3270174887,0.1430595621,-4.54357794,24
2.7,0.4794025541,0.7459283378,3.650298517,5.499523157,0.06943003337,0.1,0.6943003337,0.3129976208,0.1520324894,5.615918925,31
2.8,-0.6243943801,-0.3770534115,7.480790484,5.959544025,0.07331843023,0.1,0.7331843023,-0.4579918034,0.04024350806,-2.736117587,24
2.9,0.2495035168,-0.1852360841,-4.996438946,5.787569028,0.0698563475,0.1,0.698563475,0.3336081459,0.138705605,-5.331398323,24
3,1.772556488,0.9068295762,3.174535351,5.554500698,0.0724563028,0.1,0.724563028,-0.4706103448,0.02852590334,-2.331006762,31
3.1,5.007948172,-2.832697184,-8.271230768,5.660879112,0.07926855141,0.1,0.7926855141,0.005577045468,0.2499688966,-6.307279327,24
3.2,-4.759964,-3.670466298,10.9429468,5.459619522,0.08314255129,0.1,0.8314255129,-0.0538640875,0.2470986601,-5.978770021,26
3.3,0.2323544501,4.462693699,-4.689296935,6.510643943,0.08346440066,0.1,0.8346440066,-0.4944164761,0.005552348152,-0.892764816,19
3.4,-0.6802630561,0.7196387911,2.113685216,5.764946751,0.07215977578,0.1,0.7215977578,0.4759315471,0.0234891625,-2.123922135,26
3.5,-5.803905113,-2.173196794,10.24000438,10.76655178,0.0877919825,0.1,0.877919825,-0.4398545951,0.05652793514,2.708174878,31
3.6,4.102181263,2.527477075,10.27167149,7.605386638,0.07722838692,0.1,0.7722838692,0.4152578618,0.07756090818,3.606155744,24
3.7,-4.705422093,-4.983759768,9.75898161,12.43028248,0.08203433981,0.1,0.8203433981,-0.209528539,0.2060977914,-5.53402328,25
3.8,-0.4170172844,-0.1584646634,3.657840233,8.353428577,0.06900762971,0.1,0.6900762971,-0.4669431016,0.03196413987,2.590803057,25
3.9,-1.251797448,1.084072178,4.634760504,6.572870372,0.0717255059,0.1,0.717255059,0.2811990359,0.1709271022,5.764104488,29
