a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
0.5299306525,4.361399868,2.803014939,-0.2063043588,0.1427371145,0.6,0.1,10
-1.236405265,4.866315449,2.17760236,4.5119466,0.04239735054,0.6,0.1,10
-3.815214228,3.505336792,1.37073884,-3.780783217,0.3456855372,0.6,0.1,10
0.8825799997,1.860963651,-4.876973141,-0.4568203816,0.1163259831,0.6,0.1,10
3.253995112,-2.046409747,-0.414519182,-0.5768587293,0.1502357055,0.6,0.1,10
-1.980726086,4.184418955,2.812940354,-3.89411589,1.074281476,0.6,0.1,10
4.970346578,3.792000243,-2.160915621,3.368965797,0.05513196939,0.6,0.1,10
-3.935804681,4.991047305,1.656847361,1.501250156,0.1223469753,0.6,0.1,10
-4.09559273,3.970333989,-4.710004968,-2.59171942,0.3579051674,0.6,0.1,10
-3.569781248,2.767679407,-3.017957728,4.106382271,0.0642174073,0.6,0.1,10
1.562690393,-4.638372895,-4.945701659,-4.48342083,0.09913737904,0.6,0.1,10
1.059251776,3.014818109,-2.614471794,3.494088429,0.2283800324,0.6,0.1,10
-4.427680598,3.009638536,4.277954302,2.721083991,171.3306276,0.6,0.1,10
1.98120784,3.379802187,-4.598487005,-2.982178893,0.1162161185,0.6,0.1,10
-3.750763207,0.04530990193,2.451881283,1.300118446,0.0860758515,0.6,0.1,10
3.511310998,-3.447870076,2.346210919,-3.069585091,0.06944657889,0.6,0.1,10
-2.292412487,2.099046973,4.802047849,1.11543606,0.137127451,0.6,0.1,10
-4.45499685,1.163089699,-4.576494484,3.841457114,0.1341440705,0.6,0.1,10
2.095782851,-3.268721536,-4.082789942,-3.164667711,5.450492393,0.6,0.1,10
4.800271796,-0.4143935754,2.840809483,1.364083421,0.06906562574,0.6,0.1,10
0.7241314996,-3.548697453,4.460244536,-1.986573675,0.1092052185,0.6,0.1,10
0.7801721581,1.997759446,1.492331552,4.405944097,0.05603720604,0.6,0.1,10
-3.515610101,0.08352738447,-0.9596560926,-0.2583127052,0.119621189,0.6,0.1,10
-3.807824738,-3.659053901,-2.219244542,-1.952953962,0.7628846331,0.6,0.1,10
-0.7209678632,1.10987547,1.346291174,-0.8818910341,0.1737621681,0.6,0.1,10
-0.9121689057,-2.823714733,0.8830624841,-1.829590887,0.5405164155,0.6,0.1,10
-4.639401657,-0.8159995584,-0.2586732491,-2.744071318,0.2123811045,0.6,0.1,10
0.7245793312,0.6577190043,2.020021811,1.479484822,0.209710033,0.6,0.1,10
1.524330565,-1.837858482,2.87432222,0.491443836,0.1248501099,0.6,0.1,10
-0.6858180482,1.260124809,-1.393426655,0.1273924461,6.509794191,0.6,0.1,10
2.367056885,3.864028867,4.210571973,0.03632925183,0.1080709675,0.6,0.1,10
